"","wave","hid","HHCode","pid","MatchingIssue","DataMissing","SpeciesName","Abundance","Invasive","regency","village","crop"
"1",2015,"687","541.16",NA,NA,NA,"Scleria sumatrensis","40",0,NA,NA,NA
"2",2015,"687","541.16",NA,NA,NA,"Clidemia hirta","65",1,NA,NA,NA
"3",2015,"687","541.16",NA,NA,NA,"Ottochlosa nodosa","465",0,NA,NA,NA
"4",2015,"687","541.16",NA,NA,NA,"MS: Rumput Coklat","24",0,NA,NA,NA
"5",2015,"687","541.16",NA,NA,NA,"Phylanthus urinaria","3",0,NA,NA,NA
"6",2015,"687","541.16",NA,NA,NA,"Batang Salung ","22",0,NA,NA,NA
"7",2015,"687","541.16",NA,NA,NA,"Ubi racun/arang","4",0,NA,NA,NA
"8",2015,"687","541.16",NA,NA,NA,"Hevea brasiliensis","7",0,NA,NA,NA
"9",2015,"687","541.16",NA,NA,NA,"Stenochlaena palustris","7",0,NA,NA,NA
"10",2015,"687","541.16",NA,NA,NA,"Unident_1 ","3",0,NA,NA,NA
"11",2015,"687","541.16",NA,NA,NA,"Unident_2","1",0,NA,NA,NA
"12",2015,"687","541.16",NA,NA,NA,"Unident_3","1",0,NA,NA,NA
"13",2015,"687","541.16",NA,NA,NA,"Unident_4","1",0,NA,NA,NA
"14",2015,"687","541.16",NA,NA,NA,"Unident_5","1",0,NA,NA,NA
"15",2015,"687","541.16",NA,NA,NA,"Lindsaea ensifolia","1",0,NA,NA,NA
"16",2015,"687","541.16",NA,NA,NA,"Unident_6","12",0,NA,NA,NA
"17",2015,"681","541.1",NA,NA,NA,"Scleria sumatrensis","58",0,NA,NA,NA
"18",2015,"681","541.1",NA,NA,NA,"Clidemia hirta","249",1,NA,NA,NA
"19",2015,"681","541.1",NA,NA,NA,"Melastoma malabathricum","31",0,NA,NA,NA
"20",2015,"681","541.1",NA,NA,NA,"Hevea brasiliensis","8",0,NA,NA,NA
"21",2015,"681","541.1",NA,NA,NA,"Lindsaea ensifolia","20",0,NA,NA,NA
"22",2015,"681","541.1",NA,NA,NA,"Unident_7","6",0,NA,NA,NA
"23",2015,"681","541.1",NA,NA,NA,"Ottochlosa nodosa","73",0,NA,NA,NA
"24",2015,"681","541.1",NA,NA,NA,"MS: Paku Karat","19",0,NA,NA,NA
"25",2015,"681","541.1",NA,NA,NA,"Unident_9","28",0,NA,NA,NA
"26",2015,"681","541.1",NA,NA,NA,"Macaranga bancana","17",0,NA,NA,NA
"27",2015,"681","541.1",NA,NA,NA,"Unident_10","8",0,NA,NA,NA
"28",2015,"681","541.1",NA,NA,NA,"Unident_11","3",0,NA,NA,NA
"29",2015,"681","541.1",NA,NA,NA,"Unident_12","3",0,NA,NA,NA
"30",2015,"681","541.1",NA,NA,NA,"Unident_13","1",0,NA,NA,NA
